q,Iq,Sq
4.999999999999999237e-03,3.016406385345822144e+10,7.844416662587806677e+00
5.456883573256368636e-03,1.740215041739163589e+10,4.527816575065242155e+00
5.955515666415033167e-03,7.415918411075342178e+09,1.930703183646915733e+00
6.499711122066230418e-03,4.894453457002393723e+09,1.275239961064563499e+00
7.093633370582979464e-03,7.324632163692751884e+09,1.910043254972902504e+00
7.741826282927494196e-03,8.837286703131422043e+09,2.306763966896455909e+00
8.449248934062283597e-03,6.829685767540261269e+09,1.784807627693435705e+00
9.221313542927671650e-03,4.088492140367813110e+09,1.069996565422814294e+00
1.006392687924969644e-02,3.829216787293397427e+09,1.004026346867080921e+00
1.098353545396617455e-02,4.485557189206851959e+09,1.178543620832759542e+00
1.198717483900538401e-02,3.730701961646795750e+09,9.824852338934022544e-01
1.308252349374410331e-02,3.706988617586998940e+09,9.787469470721236187e-01
1.427796150995053540e-02,4.105139132488709927e+09,1.086923444537056582e+00
1.558263472464714930e-02,3.045520862251050472e+09,8.098498507935667501e-01
1.700652469139626172e-02,3.283700911283619881e+09,8.776787098183203017e-01
1.856052504533180214e-02,3.472292247762616158e+09,9.326252894182534003e-01
2.025652484617690777e-02,3.325935116879196644e+09,9.003227241451113860e-01
2.210749953687243113e-02,3.148887376779826164e+09,8.583593270291661748e-01
2.412761021370639011e-02,3.130939248630888939e+09,8.626408600453518982e-01
2.633231196742138666e-02,3.210450326610615730e+09,8.959626632785171463e-01
2.873847212417676017e-02,3.532775702498253822e+09,9.967712534198815977e-01
3.136449929098122924e-02,3.440679459450082302e+09,9.901752808134769435e-01
3.423048419287328531e-02,3.424774784490568638e+09,1.002469389588458881e+00
3.735835337934038936e-02,3.474459905232627869e+09,1.043011768304761944e+00
4.077203697592580306e-02,2.996666008513130188e+09,9.257931561404646459e-01
4.449765176442616044e-02,2.850434241260991096e+09,9.092494955158019199e-01
4.856370099235583077e-02,2.893613354298689842e+09,9.591785490556639093e-01
5.300129244034411380e-02,2.593065735291234493e+09,8.984832353351654977e-01
5.784437641581412909e-02,2.797050736422275066e+09,1.014460307349959844e+00
6.313000549374281345e-02,2.323949508278862953e+09,9.158785909115747526e-01
6.889861799167786016e-02,2.446084795575208187e+09,1.053287414510265974e+00
7.519434734777050156e-02,2.178676744363676071e+09,1.003133258664716143e+00
8.206535976875645177e-02,1.796689312939376831e+09,9.208758052517606041e-01
8.956422273110019316e-02,1.391687103022652864e+09,8.157611097278344436e-01
9.774830715456300778e-02,1.441750494871813536e+09,1.003786448788950958e+00
1.066802263250705290e-01,1.236281593508776665e+09,1.002998706047824040e+00
1.164283149249097510e-01,9.711957260965725183e+08,9.473045961829704709e-01
1.270671518351318141e-01,8.232171768661193848e+08,9.960646696294996882e-01
1.386781307099207439e-01,6.544655977635234594e+08,1.009009272090343634e+00
1.513500826881731265e-01,4.476458989123981595e+08,8.942231635555113467e-01
1.651799560064169392e-01,3.969832207469215393e+08,9.373254733066689326e-01
1.802735577125251787e-01,3.894202473774622679e+08,9.942635133997631547e-01
1.967463631547924363e-01,3.084748817833572626e+08,9.512948157255667336e-01
2.147243994394636979e-01,2.723363769348378778e+08,9.636228996510874945e-01
2.343452096157095932e-01,2.469240537152360082e+08,1.046221827522274994e+00
2.557589049646570856e-01,1.804414784357243776e+08,9.742843536349097278e-01
2.791293134431346856e-01,1.654707239029719830e+08,1.037420617612610840e+00
3.046352330684338194e-01,1.328612047423247844e+08,1.002290911473565194e+00
3.324717998332522573e-01,1.035802615866922438e+08,1.019156584355668027e+00
3.628519806162107675e-01,1.047218202858915776e+08,1.185738175452717647e+00
3.960082025096275937e-01,8.057623077155828476e+07,9.808639058978121383e-01
4.321941310299134420e-01,6.241402603134826571e+07,1.058556495701432620e+00
4.716866108149888603e-01,6.017228099243181944e+07,1.011850644254598697e+00
5.147877836562563258e-01,4.333811385729643703e+07,1.026042457828762799e+00
5.618274000693757042e-01,4.008678000002102554e+07,1.045920279480121451e+00
6.131653420887814843e-01,3.455835179881867021e+07,9.608800433418407394e-01
6.691943765868787475e-01,2.868182074083401635e+07,9.832507249863186027e-01
7.303431601824943442e-01,2.175655488111048192e+07,1.041462648561476190e+00
7.970795187279996474e-01,1.820444828632440045e+07,1.032084806680219957e+00
8.699140264651818999e-01,1.693388128577693552e+07,1.040267435161165599e+00
9.494039122326315416e-01,1.241062489447681978e+07,8.589935572891125304e-01
1.036157322609514653e+00,1.051781091717262380e+07,9.839478454086953985e-01
1.130837974611432095e+00,8.848888874141046777e+06,9.979646701263845676e-01
1.234170233534324090e+00,6.789945749340413138e+06,8.805586030379590756e-01
1.346944654795086072e+00,6.143331709224755876e+06,9.933551655473381592e-01
1.470024032167355221e+00,5.166127939709234051e+06,8.849476178880385513e-01
1.604349998685224987e+00,3.518759896437685937e+06,1.109691016180486045e+00
1.750950230715856204e+00,3.554255874557717238e+06,1.000345825387287446e+00
1.910946310316559149e+00,2.445233667929210234e+06,8.834365963392926124e-01
2.085562306028259982e+00,1.834488988885167288e+06,9.018785198953012117e-01
2.276134137753654585e+00,1.664173665216241963e+06,9.651698964450858842e-01
2.484119797367193350e+00,1.253986212932399940e+06,9.899099936705786362e-01
2.711110503250792725e+00,8.961961476718876511e+05,1.026909523085171916e+00
2.958842874094411712e+00,6.151147649533038493e+05,1.151840189225433297e+00
3.229212215098488770e+00,4.060580463969396660e+05,9.523228373623563447e-01
3.524287018225951140e+00,3.040007822726896266e+05,8.414024675737709069e-01
3.846324787439572734e+00,1.991701088996177423e+05,1.005777258667897467e+00
4.197789309997555840e+00,1.218218939726902172e+05,1.031282514936386452e+00
4.581369505943369447e+00,5.484288261128684826e+04,9.755066821632750740e-01
5.000000000000000888e+00,2.857108921547962746e+04,9.355494352692337312e-01
